Species,Ti,Acc,gene
Salix serissima,"Salix serissima voucher SALIX327_08_07_GWA_14353 maturase K (matK) gene, partial cds; chloroplast",KM002404,matK
Kali turgidum,"Kali turgidum voucher v0025923WIS maturase K (matK) gene, partial cds; chloroplast",MK520601,matK
Salsola kali,"Salsola kali tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast",AY514843,matK
Saxifraga pensylvanica,"Saxifraga pensylvanica maturase (matK) gene, chloroplast gene encoding chloroplast protein, partial cds",AF114175,matK
Schizachne purpurascens,"Schizachne purpurascens voucher 07-JMS-1112 maturase K (matK) gene, partial cds; chloroplast",MF597607,matK
Schizachyrium scoparium,"Schizachyrium scoparium var. stoloniferum isolate OSBAR 000032 maturase K (matK) gene, partial cds; chloroplast",MH551577,matK
Scirpus cyperinus,"Scirpus cyperinus voucher v0186721WIS maturase K (matK) gene, partial cds; chloroplast",MK520625,matK
Eleocharis geniculata,"Eleocharis geniculata voucher BioBot00996 maturase K (matK) gene, partial cds; chloroplast",JQ587359,matK
Scleria triglomerata,"Scleria triglomerata maturase K (matK) gene, partial cds; chloroplast",KJ773132,matK
Scutellaria galericulata,"Scutellaria galericulata maturase K (matK) gene, complete sequence; tRNA-Lys (trnK) gene, partial sequence; trnK-psbA intergenic spacer, complete sequence; and psbA (psbA) gene, partial sequence, isolate Scu002",OU991604,matK
Scutellaria lateriflora,"Scutellaria lateriflora voucher v0079576WIS maturase K (matK) gene, partial cds; chloroplast",MK520635,matK
Scutellaria parvula,"Scutellaria parvula var. australis maturase K (matK) gene, partial cds; chloroplast",MN725444,matK
Secale cereale,"Secale cereale voucher PRVJ-14C maturase K (matK) gene, partial cds; chloroplast",MZ687829,matK
Secale vavilovii,"Secale vavilovii voucher R1027 tRNA-Lys (trnK-UUU) gene, partial sequence; and maturase K (matK) gene, complete cds; plastid",KM040675,matK
Packera aurea,"Packera aurea voucher SCBI-SIGEO_13_0073 maturase K (matK) gene, partial cds; chloroplast",KP643063,matK
Packera paupercula,"Packera paupercula voucher AP052 maturase K (matK) gene, partial cds; chloroplast",HQ593377,matK
Setaria italica,"Setaria italica voucher 06-JMS-0764 maturase K (matK) gene, partial cds; chloroplast",MF597613,matK
Cenchrus americanus,"Cenchrus americanus cultivar shandaweel 1 maturase K (matK) gene, partial cds; chloroplast",KT351783,matK
Setaria viridis,"Setaria viridis voucher TLF-009 maturase K (matK) gene, partial cds; chloroplast",MT930007,matK
Silene antirrhina,"Silene antirrhina isolate OSBAR 000383 maturase K (matK) gene, partial cds; chloroplast",MH551881,matK
Sisymbrium altissimum,"Sisymbrium altissimum isolate SA3 maturase K (matK) gene, partial cds; chloroplast",MW188525,matK
Sisyrinchium campestre,"Sisyrinchium campestre voucher Fay KS01-01 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast",JN565638,matK
Maianthemum racemosum,"Maianthemum racemosum voucher v0263971WIS maturase K (matK) gene, partial cds; chloroplast",MK520298,matK
Maianthemum stellatum,"Maianthemum stellatum voucher ERM401 maturase K (matK) gene, partial cds; chloroplast",KX677527,matK
Smilax herbacea,"Smilax herbacea voucher SCBI-SIGEO_13_0131 maturase K (matK) gene, partial cds; chloroplast",KP643173,matK
Solanum americanum,"Solanum americanum isolate OSBAR 000544 maturase K (matK) gene, partial cds; chloroplast",MH552036,matK
Solanum carolinense,"Solanum carolinense voucher SCBI-SIGEO_13_0313 maturase K (matK) gene, partial cds; chloroplast",KP643194,matK
Solanum dulcamara,"Solanum dulcamara voucher JAG 0026-b maturase K (matK) gene, partial cds; chloroplast",HQ593448,matK
Solanum nigrum,"Solanum nigrum isolate M1129 maturase K (matK) gene, partial cds; chloroplast",MH265199,matK
Solidago canadensis,"Solidago canadensis voucher ERM971 maturase K (matK) gene, partial cds; chloroplast",KX677021,matK
Solidago gigantea,"Solidago gigantea voucher JAG 0752 maturase K (matK) gene, partial cds; chloroplast",MG225322,matK
Solidago juncea,"Solidago juncea voucher SNP_13_0411 maturase K (matK) gene, partial cds; chloroplast",KP642914,matK
Solidago missouriensis,"Solidago missouriensis voucher Aust 198 maturase K (matK) gene, complete cds; plastid",KT176594,matK
Solidago nemoralis,"Solidago nemoralis voucher v0255467WIS maturase K (matK) gene, partial cds; chloroplast",MK520680,matK
Solidago rigida,"Solidago rigida voucher v0029672WIS maturase K (matK) gene, partial cds; chloroplast",MK520684,matK
Solidago speciosa,"Solidago speciosa voucher v0053165WIS maturase K (matK) gene, partial cds; chloroplast",MK520687,matK
Sonchus arvensis,"Sonchus arvensis isolate 7R maturase K (matK) gene, partial cds; chloroplast",OP271890,matK
Sorghastrum nutans,"Sorghastrum nutans voucher FLAS:Abbott 25964 maturase K (matK) gene, partial cds; chloroplast",KY607367,matK
Spartina pectinata,"Spartina pectinata maturase (matK) gene, complete cds; chloroplast gene for chloroplast product",AF312353,matK
Spiraea alba,"Spiraea alba var. latifolia maturase K (matK) gene, partial cds; chloroplast",MG191367,matK
Spiraea tomentosa,"Spiraea tomentosa var. rosea voucher NC2012_518 maturase K (matK) gene, partial cds; chloroplast",KM212103,matK
Sporobolus cryptandrus,"Sporobolus cryptandrus voucher 06-JMS-0640 maturase K (matK) gene, partial cds; chloroplast",MF597623,matK
Sporobolus heterolepis,"Sporobolus heterolepis maturase K (matk) gene, partial cds; plastid",HQ713377,matK
Stachys palustris,"Stachys palustris isolate NMW2516 maturase K (matK) gene, partial cds; chloroplast",JN895215,matK
Stachys tenuifolia,"Stachys tenuifolia voucher v0106822WIS maturase K (matK) gene, partial cds; chloroplast",MK520711,matK
Stellaria longifolia,"Stellaria longifolia voucher v0257291WIS maturase K (matK) gene, partial cds; chloroplast",MK520715,matK
Stellaria media,"Stellaria media voucher Ge130010 maturase K (matK) gene, partial cds; chloroplast",MT917917,matK
Hesperostipa comata,"Hesperostipa comata voucher 06-JMS-0595 maturase K (matK) gene, partial cds; chloroplast",MF597414,matK
Hesperostipa spartea,"Hesperostipa spartea voucher 07-JMS-0992 maturase K (matK) gene, partial cds; chloroplast",MF597416,matK
Trachypogon spicatus,"Trachypogon spicatus chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher RGD192",LN906788,matK
Streptopus lanceolatus,"Streptopus lanceolatus voucher ERM292 maturase K (matK) gene, partial cds; chloroplast",KX677340,matK
Strophostyles leiosperma,"Strophostyles leiosperma trnK gene, partial sequence; and maturase (matK) gene, complete cds; chloroplast",AY509947,matK
Symphoricarpos occidentalis,"Symphoricarpos occidentalis voucher HERB0173 maturase K (matK) gene, partial cds; chloroplast",KX677065,matK
Thalictrum dasycarpum,"Thalictrum dasycarpum voucher RBG 092 maturase K (matK) gene, partial cds; chloroplast",MG221067,matK
Thalictrum dioicum,"Thalictrum dioicum voucher SNP_13_0350 maturase K (matK) gene, partial cds; chloroplast",KP642971,matK
Tradescantia bracteata,"Tradescantia bracteata voucher v0182091WIS maturase K (matK) gene, partial cds; chloroplast",MK520757,matK
Tradescantia occidentalis,"Tradescantia occidentalis voucher WIS_sn12_DOB maturase K (matK) gene, partial cds; chloroplast",MK520758,matK
Triadenum fraseri,"Triadenum fraseri maturase K (matK) gene, partial cds; chloroplast",HQ331688,matK
Trientalis borealis,"Trientalis borealis voucher ERM729 maturase K (matK) gene, partial cds; chloroplast",KX677740,matK
Trifolium arvense,"Trifolium arvense voucher v0262621WIS maturase K (matK) gene, partial cds; chloroplast",MK520768,matK
Trifolium hybridum,"Trifolium hybridum voucher ERM777 maturase K (matK) gene, partial cds; chloroplast",KX677456,matK
Trifolium pratense,"Trifolium pratense voucher SHI-A2007143 maturase K (matK) gene, partial cds; chloroplast",MN317488,matK
Trifolium repens,"Trifolium repens voucher Canek Ledesma 20240 (MEXU, US) maturase K (matK) gene, partial cds; chloroplast",OQ289601,matK
Typha angustifolia,"Typha angustifolia voucher SCSB-JS0189 maturase K (matK) gene, partial cds; chloroplast",MN434009,matK
Typha latifolia,"Typha latifolia isolate OSBAR 000202 maturase K (matK) gene, partial cds; chloroplast",MH551723,matK
Ulmus americana,"Ulmus americana voucher AP055 maturase K (matK) gene, partial cds; chloroplast",HQ593481,matK
Ulmus pumila,"Ulmus pumila voucher NiuYL143 maturase K (matK) gene, partial cds; chloroplast",MN492850,matK
Urtica dioica,"Urtica dioica isolate Dt_313 maturase K (matK) gene, partial cds; chloroplast",MK931229,matK
Uvularia sessilifolia,"Uvularia sessilifolia voucher TJD-219 maturase K (matK) gene, partial cds; chloroplast",KP210445,matK
Vaccinium angustifolium,"Vaccinium angustifolium voucher MT00186588 maturase K (matK) gene, partial cds; chloroplast",MG225334,matK
Vaccinium myrtilloides,"Vaccinium myrtilloides maturase K (matK) gene, partial cds; chloroplast",KT307929,matK
Verbascum thapsus,"Verbascum thapsus isolate 309 maturase K (matK) gene, partial cds; chloroplast",MK954270,matK
Verbascum thapsis,"Verbascum thapsis trnK gene, partial sequence; and maturase K (matK) gene, complete cds, chloroplast genes for chloroplast products",AF052002,matK
Verbena bracteata,"Verbena bracteata trnK gene, partial sequence; and maturase (matK) gene, partial cds; chloroplast",HQ384506,matK
Verbena hastata,"Verbena hastata voucher JAG 0732 maturase K (matK) gene, partial cds; chloroplast",MG224840,matK
Verbena stricta,"Verbena stricta voucher AP251a maturase K (matK) gene, partial cds; chloroplast",HQ593486,matK
Veronicastrum virginicum,"Veronicastrum virginicum tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast",AY492168,matK
Viburnum lentago,"Viburnum lentago voucher AP051-b maturase K (matK) gene, partial cds; chloroplast",HQ593493,matK
Vicia sativa,"Vicia sativa voucher Miriam Jimenez Chimil 30307 (MEXU, US) maturase K (matK) gene, partial cds; chloroplast",OQ290384,matK
Vicia villosa,"Vicia villosa subsp. varia voucher PE CPG29137 Z.D. Chen et al. 29137 maturase K (matK) gene, partial cds; chloroplast",ON982044,matK
Viola macloskeyi,"Viola macloskeyi subsp. pallens voucher JAG 0440 maturase K (matK) gene, partial cds; chloroplast",HQ593503,matK
Viola palustris,"Viola palustris isolate NMW6274 maturase K (matK) gene, partial cds; chloroplast",JN895189,matK
Viola pedata,"Viola pedata voucher v0264511WIS maturase K (matK) gene, partial cds; chloroplast",MK520808,matK
Viola pedatifida,"Viola pedatifida voucher v0255115WIS maturase K (matK) gene, partial cds; chloroplast",MK520809,matK
Viola selkirkii,"Viola selkirkii voucher Yoo030429 maturase K (matK) gene, complete cds; chloroplast",DQ842605,matK
Vitis vulpina,"Vitis vulpina voucher 12530 maturase K (matK) gene, partial cds; chloroplast",MN702203,matK
Zanthoxylum americanum,"Zanthoxylum americanum voucher CCDB-20333-B03 maturase K (matK) gene, partial cds; chloroplast",MG220856,matK
Zizia aptera,"Zizia aptera voucher HERB0054 maturase K (matK) gene, partial cds; chloroplast",KX676845,matK
Zizia aurea,"Zizia aurea voucher Aust 158 maturase K (matK) gene, complete cds; plastid",KT176598,matK
Ginkgo biloba,"Ginkgo biloba NADH dehydrogenase F (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds",U31082,ndhF
Acer negundo,"Acer negundo NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF130227,ndhF
Achillea millefolium,"Achillea millefolium voucher ID:169205 from USA NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",MK800618,ndhF
Elymus repens,"Elymus repens NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds",U71027,ndhF
Agrostis scabra,"Agrostis scabra voucher YDK2009763 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KM538726,ndhF
Amaranthus retroflexus,"Amaranthus retroflexus NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY959886,ndhF
Amelanchier arborea,"Amelanchier arborea voucher S. L. Zhou BOP022147 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",MG704079,ndhF
Andropogon gerardii,"Andropogon gerardii NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds",AF117391,ndhF
Apocynum cannabinum,"Apocynum cannabinum NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",HQ384846,ndhF
Turritis glabra,"Turritis glabra chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB034",LC090146,ndhF
Arabis hirsuta,"Arabis hirsuta chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB003",LC090115,ndhF
Aronia melanocarpa,"Aronia melanocarpa voucher S. L. Zhou BOP022150 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",MG704080,ndhF
Asclepias verticillata,"Asclepias verticillata voucher Aust 170 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176825,ndhF
Asparagus officinalis,"Asparagus officinalis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY394734,ndhF
Symphyotrichum novae-angliae,"Symphyotrichum novae-angliae isolate 1208 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid",GU817797,ndhF
Barbarea vulgaris,"Barbarea vulgaris subsp. vulgaris isolate NL_955_B49 NADH dehydrogenase F (ndhF) gene, partial cds; plastid",MG886737,ndhF
Berteroa incana,"Berteroa incana chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB008",LC090120,ndhF
Bouteloua aristidoides,"Bouteloua aristidoides voucher US:Peterson 21994 & Saarela NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",GU359570,ndhF
Bromus inermis,"Bromus inermis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",DQ786821,ndhF
Bromopsis inermis,"Bromopsis inermis NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds",U71037,ndhF
Bromus tectorum,"Bromus tectorum chromoplast partial ndhF gene for NADH dehydrogenase subunit 5, specimen voucher BRU: Christin 133",HF558459,ndhF
Bouteloua dactyloides,"Bouteloua dactyloides voucher US:Peterson 21441, Saarela & Stancik NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",GU359569,ndhF
Buchloe dactyloides,"Buchloe dactyloides plastid partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher BRU: S.H. Taylor 23",FR821354,ndhF
Calamagrostis canadensis,"Calamagrostis canadensis NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds",U71017,ndhF
Calamovilfa longifolia,"Calamovilfa longifolia voucher US:Hatch 5738 & Bearden NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",GU359716,ndhF
Caltha palustris,"Caltha palustris NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KU196930,ndhF
Campanula rotundifolia,"Campanula rotundifolia voucher Steele 1318 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176863,ndhF
Capsella bursa-pastoris,"Capsella bursa-pastoris NADH dehydrogenase subunit F (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds",AF064653,ndhF
Carex vulpinoidea,"Carex vulpinoidea isolate B743 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KP273764,ndhF
Ceanothus americanus,"Ceanothus americanus voucher FLAS:J. R. Abbott 25351 NADH dehydrogenase (ndhF) gene, partial cds; chloroplast",KC539646,ndhF
Celastrus scandens,"Celastrus scandens NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",FJ670146,ndhF
Chamaedaphne calyculata,"Chamaedaphne calyculata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",FJ008930,ndhF
Circaea lutetiana,"Circaea lutetiana chloroplast partial ndhF gene for NADH dehydrogenase subunit F, exon 1, specimen voucher F. Rutschmann fru 86 (Z)",AM235433,ndhF
Cirsium discolor,"Cirsium discolor isolate 1156 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid",GU817845,ndhF
Comandra umbellata,"Comandra umbellata voucher Kellar 1411 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176859,ndhF
Convolvulus arvensis,Convolvulus arvensis ndhF gene,AJ236243,ndhF
Cornus alternifolia,"Cornus alternifolia voucher Xiang 02-26 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",EU373581,ndhF
Cornus racemosa,"Cornus racemosa voucher Xiang 599 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",EU373578,ndhF
Cornus sericea,"Cornus sericea NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY725868,ndhF
Crepis tectorum,"Crepis tectorum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF218348,ndhF
Cycloloma atriplicifolium,"Cycloloma atriplicifolium voucher Hort. Bot. Berg. Stockholm 116 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",HM630047,ndhF
Cyperus filiculmis,"Cyperus filiculmis voucher LSU:Reid 8664 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KX405874,ndhF
Cyperus strigosus,"Cyperus strigosus voucher LSU:Reid 7581 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KX405932,ndhF
Danthonia spicata,"Danthonia spicata voucher Taub, W.D. 30 (SASK) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",EU400789,ndhF
Digitaria sanguinalis,"Digitaria sanguinalis voucher 2014468 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",MF065583,ndhF
Dulichium arundinaceum,"Dulichium arundinaceum var. arundinaceum isolate STA2469 NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid",MF669285,ndhF
Echinacea purpurea,"Echinacea purpurea chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds",AB530929,ndhF
Elymus canadensis,"Elymus canadensis voucher H3994 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",HM770846,ndhF
Elymus trachycaulus,"Elymus trachycaulus NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",DQ786838,ndhF
Epilobium angustifolium,"Epilobium angustifolium NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF495784,ndhF
Eragrostis spectabilis,"Eragrostis spectabilis plastid partial ndhF gene for NADH dehydrogenase subunit 5, specimen voucher K:M. Chase 36797",HE577868,ndhF
Eutrochium maculatum,"Eutrochium maculatum voucher Schilling 95-16 (TENN) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",EU337036,ndhF
Euphorbia corollata,"Euphorbia corollata voucher Berry, P.E. 7764 (MICH) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",JQ750782,ndhF
Festuca ovina,"Festuca ovina voucher M ller 6879 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",JX438166,ndhF
Festuca rubra,"Festuca rubra bio-material NordGen 14264.2 NADH dehydrogenase F (ndhF) gene, partial cds; chloroplast",MH888139,ndhF
Fragaria virginiana,"Fragaria virginiana subsp. grayana voucher GP15.1 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",JX064444,ndhF
Fraxinus americana,"Fraxinus americana voucher Li 3609 NADH dehydrogenase subunit F (ndhF) pseudogene, partial sequence; plastid",JN591032,ndhF
Gloxinia sylvatica,"Gloxinia sylvatica putative NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial sequence",U62157,ndhF
Galium aparine,"Galium aparine voucher Steele 1309 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176860,ndhF
Glechoma hederacea,"Glechoma hederacea NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds",U78691,ndhF
Glyceria grandis,"Glyceria grandis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY622314,ndhF
Gnaphalium uliginosum,"Gnaphalium uliginosum NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid",HM445680,ndhF
Helenium autumnale,"Helenium autumnale isolate 1146 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid",GU817866,ndhF
Heliopsis helianthoides,"Heliopsis helianthoides var. occidentalis voucher Aust 184 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176830,ndhF
Pilosella aurantiaca,"Pilosella aurantiaca NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF218336,ndhF
Hieracium umbellatum,"Hieracium umbellatum voucher CPG12896 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KX526885,ndhF
Hieracium longipilum,"Hieracium longipilum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF218351,ndhF
Anthoxanthum nitens,"Anthoxanthum nitens voucher YDK2009577 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KM538751,ndhF
Impatiens capensis,"Impatiens capensis voucher Kellar 1393 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176855,ndhF
Juniperus communis,"Juniperus communis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY902175,ndhF
Lactuca canadensis,"Lactuca canadensis isolate 1149 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid",GU817880,ndhF
Leersia oryzoides,"Leersia oryzoides chloroplast partial ndhF gene for NADH dehydrogenase subunit 5, specimen voucher BM: H. Schaefer 2008/414",HE575734,ndhF
Lepidium virginicum,"Lepidium virginicum chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB025",LC090136,ndhF
Liatris aspera,"Liatris aspera voucher Lickey 8/5/03-6, TENN NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",HQ416219,ndhF
Linaria vulgaris,"Linaria vulgaris voucher Estenanez s.n. NADH dehydrogenase subunit (ndhF) gene, partial cds; chloroplast",JN848484,ndhF
Lithospermum canescens,"Lithospermum canescens NADH dehydrogenase subunit ND5 (ndhF) gene, partial cds; ndhF-rpl32 intergenic spacer, complete sequence; and ribosomal protein L32 (rpl32) gene, partial cds; chloroplast",FJ827368,ndhF
Lolium multiflorum,"Lolium multiflorum voucher YDK2009620 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KM538757,ndhF
Silene latifolia,"Silene latifolia NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",DQ841751,ndhF
Lysimachia ciliata,"Lysimachia ciliata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY839977,ndhF
Lysimachia thyrsiflora,"Lysimachia thyrsiflora NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY839959,ndhF
Maianthemum canadense,"Maianthemum canadense isolate IG_Ma_ci_131 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KY909084,ndhF
Medicago sativa,"Medicago sativa Q(B) polypeptide (psbA) gene, partial cds; tRNA-His gene, complete sequence; and NADH dehydrogenase (ndhF) gene, partial cds; chloroplast genes for chloroplast products",AY029748,ndhF
Mirabilis albida,"Mirabilis albida NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",MN045970,ndhF
Mirabilis nyctaginea,"Mirabilis nyctaginea NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",MN045977,ndhF
Mollugo verticillata,"Mollugo verticillata NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AY090617,ndhF
Monarda fistulosa,"Monarda fistulosa var. mollis voucher Aust 190 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176845,ndhF
Muhlenbergia racemosa,"Muhlenbergia racemosa voucher US:Peterson 20924, Saarela & Howard NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",GU359638,ndhF
Nepeta cataria,"Nepeta cataria voucher Aust 177 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176846,ndhF
Oxalis stricta,"Oxalis stricta voucher YNUH:O120510b NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KC481665,ndhF
Panicum capillare,"Panicum capillare chloroplast partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher PA Christin 10-2005 (G)",AM849174,ndhF
Dichanthelium acuminatum,"Dichanthelium acuminatum NADH dehydrogenase F (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AY188485,ndhF
Panicum leibergii,"Panicum leibergii voucher KEW *0398118 NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid",KU530324,ndhF
Panicum miliaceum,"Panicum miliaceum chloroplast partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher FR:0004796",FR667670,ndhF
Dichanthelium oligosanthes,"Dichanthelium oligosanthes NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KJ740987,ndhF
Panicum virgatum,"Panicum virgatum plastid partial ndhF gene for NADH dehydrogenase subunit F, specimen voucher BRU: S.H. Taylor 26",FR821364,ndhF
Parietaria pensylvanica,"Parietaria pensylvanica NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF500383,ndhF
Penstemon gracilis,"Penstemon gracilis voucher Aust 173 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176851,ndhF
Penthorum sedoides,"Penthorum sedoides NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",EF207474,ndhF
Phalaris arundinacea,"Phalaris arundinacea voucher YDK2009614 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KM538763,ndhF
Phleum pratense,"Phleum pratense NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",DQ786860,ndhF
Phlox pilosa,"Phlox pilosa NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product",AF207986,ndhF
Phryma leptostachya,Phryma leptostachya chloroplast partial ndhF gene for NADH dehydrogenase subunit F,AJ429118,ndhF
Physalis virginiana,"Physalis virginiana voucher Aust 157 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid",KT176841,ndhF
Plantago lanceolata,"Plantago lanceolata NADH dehydrogenase subunit (ndhF) gene, partial cds; chloroplast gene for chloroplast product",L36408,ndhF
Poa compressa,"Poa compressa voucher UZ 51.08 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KJ529456,ndhF
Poa pratensis,"Poa pratensis voucher WP14 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",KJ529455,ndhF
Poa angustifolia,"Poa angustifolia NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds",U71010,ndhF
Polygonella articulata,"Polygonella articulata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",GQ206290,ndhF
Persicaria pensylvanica,"Persicaria pensylvanica NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",EF438056,ndhF
Persicaria sagittata,"Persicaria sagittata NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",GQ206288,ndhF
Populus deltoides,"Populus deltoides voucher Alford 3038 (BH) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY757171,ndhF
Populus tremuloides,"Populus tremuloides voucher Alford et al. 3063 (BH) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",AY757172,ndhF
Portulaca oleracea,"Portulaca oleracea var. oleracea voucher JVD-1457 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast",OM160991,ndhF
Comarum palustre,"Comarum palustre isolate BOP016840 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast",MN732620,ndhF
